Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Belarus,BLR,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17023853780,16290586810,14901377105,13920967615,14726249832,15513437501,15627845366,14076152460,13772555676,12918229958,13639785967,15937177522,21168875413,27217492225,33761156972,41176296764,52095902279,53147530205,56862110767,58041066262,60552729313,64231478521,69617901305,61422159541,
Belize,BLZ,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,,,31790498.16,33773267.86,35978344.83,39090906.75,43098817.13,47247511.7,48696673.76,49636626.55,51620037.62,56173516.91,65850449.42,77516233.55,95608917.3,112442978.1,107821099.2,117099226.7,128662105.6,158196087.8,205937832.8,210026015.9,192228288.4,176323230.9,181596739.6,194954572.4,227666703.3,275760265.8,326494829.5,371180398.9,418416668.7,455716263.8,517212848.4,549503135.7,563278912.1,592938485.4,617346936.2,639510504,643440439.7,685920762.4,779751685,801137273.8,845928745.5,929567299,992494365,1041222170,1099932999,1115725820,1206055632,1297128767,1277230971,1362987297,1432774438,1493937639,1558175801,1589644847,
Bermuda,BMU,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,,,101020617.8,103133764.9,115558704.9,123406062.8,144470552.7,166795582.5,171697811.6,180438733.7,196388330.9,219088361.8,246373722.7,291944818.8,346454386.2,401302668.4,441158981,478238950.9,518830572,575771698.5,699065834.6,777336485.8,759980792.1,829157959.6,931451796.3,1016836212,1214742355,1390423915,1552984510,1559537559,1605479678,1616975712,1699099796,1819770145,1882075404,2048861895,,,,,,,,,,,,7633498268,7864787750,7323676393,7192513833,6942456236,6873693139,6899462135,,,
Bolivia,BOL,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,,,,,,,,,,,1059864948,1170533891,1344957831,1509605908,1909972105,2431628196,2951815196,3234163390,3718813582,4405302914,4871857626,5877342958,5039199967,5164434333,5143307641,5104808204,4672955231,4648925377,4697709136,4845641378,4943714275,5192476025,5508295366,5787631206,6070974515,6467459258,7039308067,7562960598,8000762183,8051919510,8287322599,8178351044,8013282700,8087318381,8660873067,9396877318,10417503031,11706828102,14340350233,16050435914,17924588206,20274238997,23313229275,27255049594,30344021886,33036925034,
Brazil,BRA,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,,,18037914378,19707773088,22217498255,23177838764,23652719264,27284844196,33783381116,38464481848,42676319834,49333934414,59181570692,77769954640,1.02771E+11,1.26661E+11,1.49592E+11,1.67758E+11,1.93344E+11,2.3236E+11,2.65943E+11,2.58617E+11,2.54813E+11,2.2341E+11,2.1548E+11,2.13647E+11,2.48979E+11,2.88961E+11,3.25227E+11,4.04313E+11,4.07397E+11,4.96943E+11,4.88536E+11,4.84379E+11,4.82312E+11,5.9908E+11,7.38523E+11,8.44814E+11,8.22021E+11,7.10242E+11,6.7579E+11,5.86439E+11,5.50999E+11,5.36558E+11,6.09949E+11,7.36138E+11,8.98063E+11,1.15277E+12,1.42743E+12,1.57243E+12,1.91626E+12,2.20792E+12,2.43206E+12,2.48687E+12,2.42986E+12,2.04711E+12,
Barbados,BRB,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,,,,,,,,,,,,,,,,,,,,,,,934574903,952700036.9,1057576012,1137698363,1270875654,1451285620,1618186572,1721676805,1995342356,1967497771,1956006602,2011669090,2120080606,2234991104,2356470488,2477641410,2589848575,2710220421,2986574500,2952233764,2973901758,3160710836,3449105214,3732175958,4025722103,4324109746,4432344886,4402308287,4432681132,4415969325,4310742796,4242973308,4210393692,4207741087,
Brunei Darussalam,BRN,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3039388898,3223742291,3615543331,4152276578,4233401385,4367066984,4659608873,4938511106,5059605339,4603000560,4579468525,4892094601,5465151267,5942531903,6290382166,7184962885,8429133513,10210159516,11595950032,12956614019,12460515789,,,15132860739,,,,
Bhutan,BTN,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,,,,,,,,,,,,,,,,,,,,,,,123578596.1,119619852.6,134961598.5,140353844.4,168350821.3,243529407.3,280008790.7,297979946.3,309821167.9,267854394.2,252933232.5,235128980.2,251041642,260798549.8,288336406.8,318569966.2,310137299.3,338025658,438794480.5,476373452.7,516184443.6,586131471.9,680300627,797661159.7,894180872.3,1112865113,1215755286,1296285019,1430276271,1592524547,1721775939,1766801209,1810509191,1838529730,
Botswana,BWA,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,,,40039986.72,43034286.55,46664083.12,50923605.82,55865424.23,60074197.07,70619651.29,85153023.61,101235230.5,130859422.8,171563462.7,240915526.7,313358801.7,385962749.3,419302713.2,467880798.6,572026397.2,770054280.6,997617536.6,1248708871,1242986250,1163889184,1119512187,1146120623,1281646465,1547463702,2381864167,2887773870,3505143349,4068884769,4455112559,4655509300,4238211767,4795962411,4787832578,5116136608,5058643678,5077309902,5217033318,5465280229,4991383258,5851631447,6928491163,8881531307,9983426335,10750348037,10992221190,10405606002,11223879788,13597775656,15263240433,15956881844,15613504497,14732137088,
Canada,CAN,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,,,43633316264,44821982453,47808371193,52592250847,58516689645,62817239745,69909940672,77302304264,84451424225,94859978783,1.10826E+11,1.35387E+11,1.63518E+11,1.85117E+11,2.04071E+11,2.14845E+11,2.32835E+11,2.55599E+11,2.83092E+11,3.05687E+11,2.97684E+11,3.07698E+11,3.34055E+11,3.56993E+11,3.76713E+11,4.27632E+11,4.95571E+11,5.38193E+11,5.67391E+11,5.83878E+11,6.02898E+11,6.05379E+11,6.01456E+11,6.06712E+11,6.1254E+11,6.33794E+11,6.2769E+11,6.48019E+11,6.92982E+11,7.10541E+11,7.31421E+11,7.99077E+11,9.35276E+11,1.09743E+12,1.22603E+12,1.35574E+12,1.48286E+12,1.44886E+12,1.50993E+12,1.61737E+12,1.7775E+12,1.84793E+12,1.84004E+12,1.70289E+12,
Switzerland,CHE,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,,,,,,,,,,,,,,,,,,,,,,,1.22077E+11,1.13785E+11,1.15693E+11,1.16856E+11,1.32318E+11,1.67739E+11,2.2166E+11,2.3409E+11,2.47779E+11,2.55079E+11,2.81099E+11,2.8296E+11,2.92734E+11,3.19668E+11,3.41898E+11,3.40573E+11,3.19698E+11,3.08126E+11,3.12474E+11,2.96082E+11,2.89432E+11,3.34907E+11,3.97657E+11,4.57743E+11,4.78227E+11,4.73284E+11,4.81943E+11,5.43815E+11,6.05342E+11,6.27371E+11,6.76472E+11,7.12798E+11,7.04202E+11,6.97627E+11,
Channel Islands,CHI,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6310777789,6181740931,6091305470,6503284142,7587639534,8535539358,9294673635,10240936484,,,,,,,,,
Chile,CHL,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,,,4851102336,5312149290,5595642787,5629920495,6532151481,6825204058,7134825196,7553485970,8218138801,9993661976,10984504472,13285965645,16610796984,11690167047,10373180128,11511211878,14340893287,19228232563,25027469174,30054802590,25269884930,20919807309,19063864415,17084085647,17364655811,19567537933,23265275922,27095345750,29642336646,33570937215,41339557490,46541181624,51342316211,62414843032,72305270153,79957235273,79135903661,74938692629,76111106954,74501170184,71991702452,73077274669,84486151236,1.02093E+11,1.1984E+11,1.43919E+11,1.6872E+11,1.68793E+11,1.83808E+11,2.12409E+11,2.49696E+11,2.68373E+11,2.66142E+11,2.5244E+11,
China,CHN,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,,,45316399283,51844509190,60663285018,71016184334,78840341181,74405408134,72217783059,84310569402,99043152222,1.04465E+11,1.13252E+11,1.38821E+11,1.59976E+11,1.84815E+11,1.7116E+11,1.8101E+11,1.86026E+11,2.01338E+11,2.13253E+11,2.2143E+11,2.20655E+11,2.2752E+11,2.57562E+11,2.99622E+11,3.29184E+11,3.48221E+11,3.6357E+11,3.56886E+11,3.72265E+11,4.05714E+11,4.57819E+11,4.91373E+11,5.54484E+11,6.47455E+11,7.92714E+11,9.23629E+11,9.87621E+11,1.06837E+12,1.17579E+12,1.28062E+12,1.41481E+12,1.63827E+12,1.94657E+12,2.27824E+12,2.68521E+12,3.28352E+12,4.07086E+12,4.857E+12,5.75232E+12,6.72627E+12,7.93472E+12,9.11033E+12,1.00943E+13,1.0724E+13,
Cote d'Ivoire,CIV,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,,,620762614.5,721613583.5,885121618.8,887462003.9,1011605553,1072952726,1250499174,1389035169,1537676672,1623469258,1788480287,2227242526,2924349540,3823422790,4588233619,5496993573,7012995349,8691557481,9317824097,9495038022,8387623141,6546703956,6259070791,6315631337,7545232752,8704999653,10118374509,9536262111,9252562273,9334245019,9969482891,9928779170,9392716568,9904300910,10600482151,11559317942,11863341621,11712405498,10611344473,9982449220,9729039720,10859088587,13816621702,16996568791,17484566415,18496184728,20988775095,23284293767,24421385198,23624191740,26619595871,29421758372,32196449699,32052633541,
